TP1	32.039555	-27.669507	-52.725906	
TP2	32.039555	-31.169507	-52.725906	
TP3	32.039555	-34.669507	-52.725906	
TP4	32.039555	-38.169507	-52.725906	
TP5	32.039555	-41.669507	-52.725906	
TP6	32.039555	-45.169507	-52.725906	
TP7	32.039555	-48.669507	-52.725906	
TP8	32.039555	-52.169507	-52.725906	
TP9	32.039555	-55.669507	-52.725906	
TB1	10.139555	-28.669507	-50.725906	
TB2	10.139555	-32.169507	-50.725906	
TB3	10.139555	-35.669507	-50.725906	
TB4	10.139555	-39.169507	-50.725906	
TB5	10.139555	-42.669507	-50.725906	
TB6	10.139555	-46.169507	-50.725906	
TB7	10.139555	-49.669507	-50.725906	
TB8	10.139555	-53.169507	-50.725906	
TB9	10.139555	-56.669507	-50.725906	
A1	14.539555	-26.469507	-40.925906	
A2	14.539555	-29.969507	-40.925906	
A3	14.539555	-33.469507	-40.925906	
A4	14.539555	-36.969507	-40.925906	
A5	14.539555	-40.469507	-40.925906	
A6	14.539555	-43.969507	-40.925906	
A7	14.539555	-47.469507	-40.925906	
A8	14.539555	-50.969507	-40.925906	
A9	14.539555	-54.469507	-40.925906	
B1	6.639555	-23.469507	-40.625906	
B2	6.639555	-26.969507	-40.625906	
B3	6.639555	-30.469507	-40.625906	
B4	6.639555	-33.969507	-40.625906	
B5	6.639555	-37.469507	-40.625906	
B6	6.639555	-40.969507	-40.625906	
B7	6.639555	-44.469507	-40.625906	
B8	6.639555	-47.969507	-40.625906	
B9	6.639555	-51.469507	-40.625906	
C1	-11.860445	-32.369507	-28.625906	
C2	-11.860445	-35.869507	-28.625906	
C3	-11.860445	-39.369507	-28.625906	
C4	-11.860445	-42.869507	-28.625906	
C5	-11.860445	-46.369507	-28.625906	
C6	-11.860445	-49.869507	-28.625906	
C7	-11.860445	-53.369507	-28.625906	
C8	-11.860445	-56.869507	-28.625906	
C9	-11.860445	-60.369507	-28.625906	
GPH1	-18.060445	-28.469507	-33.425906	
GPH2	-18.060445	-31.969507	-33.425906	
GPH3	-18.060445	-35.469507	-33.425906	
GPH4	-18.060445	-38.969507	-33.425906	
GPH5	-18.060445	-42.469507	-33.425906	
GPH6	-18.060445	-45.969507	-33.425906	
GPH7	-18.060445	-49.469507	-33.425906	
GPH8	-18.060445	-52.969507	-33.425906	
GPH9	-18.060445	-56.469507	-33.425906	
OT1	-44.060445	-29.369507	-31.125906	
OT2	-44.060445	-32.869507	-31.125906	
OT3	-44.060445	-36.369507	-31.125906	
OT4	-44.060445	-39.869507	-31.125906	
OT5	-44.060445	-43.369507	-31.125906	
OT6	-44.060445	-46.869507	-31.125906	
OT7	-44.060445	-50.369507	-31.125906	
OT8	-44.060445	-53.869507	-31.125906	
OT9	-44.060445	-57.369507	-31.125906	
FCA1	-38.860445	-12.069507	-7.625906	
FCA2	-38.860445	-15.569507	-7.625906	
FCA3	-38.860445	-19.069507	-7.625906	
FCA4	-38.860445	-22.569507	-7.625906	
FCA5	-38.860445	-26.069507	-7.625906	
FCA6	-38.860445	-29.569507	-7.625906	
FCA7	-38.860445	-33.069507	-7.625906	
FCA8	-38.860445	-36.569507	-7.625906	
FCA9	-38.860445	-40.069507	-7.625906	
GL1	-58.160445	-5.169507	-11.825906	
GL2	-58.160445	-8.669507	-11.825906	
GL3	-58.160445	-12.169507	-11.825906	
GL4	-58.160445	-15.669507	-11.825906	
GL5	-58.160445	-19.169507	-11.825906	
GL6	-58.160445	-22.669507	-11.825906	
GL7	-58.160445	-26.169507	-11.825906	
GL8	-58.160445	-29.669507	-11.825906	
GL9	-58.160445	-33.169507	-11.825906	
Cu1	-65.360445	-4.969507	4.574094	
Cu2	-65.360445	-8.469507	4.574094	
Cu3	-65.360445	-11.969507	4.574094	
Cu4	-65.360445	-15.469507	4.574094	
Cu5	-65.360445	-18.969507	4.574094	
Cu6	-65.360445	-22.469507	4.574094	
Cu7	-65.360445	-25.969507	4.574094	
Cu8	-65.360445	-29.469507	4.574094	
Cu9	-65.360445	-32.969507	4.574094	
PFG1	-41.060445	-3.869507	9.474094	
PFG2	-41.060445	-7.369507	9.474094	
PFG3	-41.060445	-10.869507	9.474094	
PFG4	-41.060445	-14.369507	9.474094	
PFG5	-41.060445	-17.869507	9.474094	
PFG6	-41.060445	-21.369507	9.474094	
PFG7	-41.060445	-24.869507	9.474094	
PFG8	-41.060445	-28.369507	9.474094	
PFG9	-41.060445	-31.869507	9.474094	
PP1	-46.960445	-2.669507	34.674094	
PP2	-46.960445	-6.169507	34.674094	
PP3	-46.960445	-9.669507	34.674094	
PP4	-46.960445	-13.169507	34.674094	
PP5	-46.960445	-16.669507	34.674094	
PP6	-46.960445	-20.169507	34.674094	
PP7	-46.960445	-23.669507	34.674094	
PP8	-46.960445	-27.169507	34.674094	
PP9	-46.960445	-30.669507	34.674094	
PA1	-39.660445	-5.569507	39.474094	
PA2	-39.660445	-9.069507	39.474094	
PA3	-39.660445	-12.569507	39.474094	
PA4	-39.660445	-16.069507	39.474094	
PA5	-39.660445	-19.569507	39.474094	
PA6	-39.660445	-23.069507	39.474094	
PA7	-39.660445	-26.569507	39.474094	
PA8	-39.660445	-30.069507	39.474094	
PA9	-39.660445	-33.569507	39.474094	
GC1	-34.260445	-2.969507	6.074094	
GC2	-34.260445	-6.469507	6.074094	
GC3	-34.260445	-9.969507	6.074094	
GC4	-34.260445	-13.469507	6.074094	
GC5	-34.260445	-16.969507	6.074094	
GC6	-34.260445	-20.469507	6.074094	
GC7	-34.260445	-23.969507	6.074094	
GC8	-34.260445	-27.469507	6.074094	
GC9	-34.260445	-30.969507	6.074094	
